title,duration,rating,price
Профессия «С#-разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",166 750 ₽ 125 063 ₽
Профессия «Разработчик на C++ с нуля» от Skillbox,"
  Длительность: 
 18 месяцев
","
10
",193 833 ₽ 125 991 ₽
Факультет fullstack JavaScript от GeekBrains,"
  Длительность: 
 15 месяцев
","
10
",224 500 ₽ 168 750 ₽
Профессия «Data scientist» от SkillFactory,"
  Длительность: 
 24 месяца
","
10
",324 000 ₽ 178 200 ₽
Профессия «Системный администратор» от Нетологии,"
  Длительность: 
 12 месяцев
","
10
",130 000 ₽ 78 000 ₽
Факультет data engineering от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",133 000 ₽ 93 100 ₽
Курс «Разработка на C#» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",274 500 ₽ 168 750 ₽
Факультет искусственного интеллекта от Geekbrains,"
  Длительность: 
 18 месяцев
","
10
",224 500 ₽ 179 600 ₽
Бакалавриат «Data Science & Machine Learning» от Skillbox и РАНХиГС,"
  Длительность: 
 48 месяцев
","
10
",1 200 000 ₽ 150 000 ₽
Профессия «PHP-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",144 232 ₽ 100 958 ₽
Профессия «Data Engineer» от Skillbox,"
  Длительность: 
 24 месяца
","
10
",203 562 ₽ 122 130 ₽
Курс «Автоматизированное тестирование на Python» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",141 878 ₽ 99 308 ₽
Курс «Data Scientist с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",185 000 ₽ 111 000 ₽
Курс «Data Analyst с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",176 968 ₽ 106 172 ₽
Курс «Data Engineer с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",176 956 ₽ 106 174 ₽
Курс «Machine Learning с нуля до Junior» от Skillbox,"
  Длительность: 
 12 месяцев
","
10
",176 956 ₽ 106 174 ₽
Курс «Java-разработчик» от Яндекс Практикума,"
  Длительность: 
 10 месяцев
","
10
",140 000 ₽
Курс «Веб-разработчик плюс» от Яндекс Практикума,"
  Длительность: 
 18 месяцев
","
10
",252 000 ₽
Курс «Специалист по Data Science плюс» от Яндекс Практикума,"
  Длительность: 
 16 месяцев
","
10
",228 000 ₽
Курс «Надёжный старт в IT» от SkillFactory,"
  Длительность: 
 18 месяцев
","
10
",375 012 ₽ 225 000 ₽
Курс «Fullstack веб-разработчик на JavaScript и PHP» от SkillFactory,"
  Длительность: 
 20 месяцев
","
10
",632 484 ₽ 253 008 ₽
Курс «Backend-разработчик на PHP» от SkillFactory,"
  Длительность: 
 12 месяцев
","
10
",263 340 ₽ 158 004 ₽
Профессия «Frontend-разработчик PRO» от SkillFactory,"
  Длительность: 
 14 месяцев
","
10
",149 976 ₽ 90 036 ₽
Курс «Мобильный разработчик» от SkillFactory,"
  Длительность: 
 16 месяцев
","
10
",229 896 ₽ 137 952 ₽
Профессия «Разработчик игр на Unity» от SkillFactory,"
  Длительность: 
 18 месяцев
","
10
",259 992 ₽ 155 988 ₽
Курс «Инженерия машинного обучения» от SkillFactory и УрФУ,"
  Длительность: 
 24 месяца
","
10
",480 000 ₽
Курс «Науки о данных» от SkillFactory и МФТИ,"
  Длительность: 
 24 месяца
","
10
",640 000 ₽
Курс «1C-программист: с нуля до middle» от Нетологии,"
  Длительность: 
 17 месяцев
","
10
",182 500 ₽ 109 500 ₽
Курс «Инженер по автоматизации» от Нетологии,"
  Длительность: 
 12 месяцев
","
10
",117 900 ₽ 70 740 ₽
Курс «Разработчик на C++» от Нетологии,"
  Длительность: 
 12 месяцев
","
10
",180 000 ₽ 108 000 ₽
Курс «SQL-разработчик с нуля» от Нетологии,"
  Длительность: 
 16 месяцев
","
10
",140 000 ₽ 84 000 ₽
Курс «Кибербезопасность» от Нетологиии и НИУ ВШЭ,"
  Длительность: 
 24 месяца
","
10
",800 000 ₽
Профессия «Java-разработчик» от Skypro,"
  Длительность: 
 11 месяцев
","
10
",158 641 ₽ 95 185 ₽
Профессия «Веб-разработчик» от Skypro,"
  Длительность: 
 12 месяцев
","
10
",158 641 ₽ 95 185 ₽
Курс «Разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «ИТ-инженер» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «ИТ-инженер Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «ИТ-инженер PRO» от GeekBrains,"
  Длительность: 
 36 месяцев
","
10
",450 000 ₽ 340 452 ₽
Курс «Инженер-программист Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Инженер-программист PRO» от GeekBrains,"
  Длительность: 
 36 месяцев
","
10
",450 000 ₽ 340 452 ₽
Курс «ИТ-инженер. Передовые технологии» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «ИТ-инженер web 3.0» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Блокчейн» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Data Science» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Искусственный интеллект» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Метавселенные» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Кибернетика умных устройств» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 168 768 ₽
Курс «Инженер-программист C# Мастер» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист C++ Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист C++» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист Python Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист Python» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист Java Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Программист Java» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Fullstack-разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Fullstack-разработчик Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Программист JavaScript» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист JavaScript Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер-программист Go» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Программист Go Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Frontend-разработчик Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Веб-разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Веб-разработчик Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер по тестированию» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Инженер по тестированию Мастер» от GeekBrains,"
  Длительность: 
 24 месяца
","
10
",350 028 ₽ 264 780 ₽
Курс «Инженер по тестированию PRO» от GeekBrains,"
  Длительность: 
 26 месяцев
","
10
",450 000 ₽ 340 452 ₽
Курс «Инженер по ручному тестированию» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Инженер по автоматизированному тестированию» от GeekBrains,"
  Длительность: 
 12 месяцев
","
10
",250 020 ₽ 159 408 ₽
Курс «Python-разработчик плюс» от Яндекс Практикума,"
  Длительность: 
 14 месяцев
","
10
",196 000 ₽
Курс «Android-разработчик» от Яндекс Практикума,"
  Длительность: 
 12 месяцев
","
10
",168 000 ₽
Курс «iOS-разработчик» от Яндекс Практикума,"
  Длительность: 
 10 месяцев
","
10
",140 000 ₽
Профессия «PHP-разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.8
",138 000 ₽ 82 800 ₽
Профессия «Java-разработчик PRO» от Skillbox,"
  Длительность: 
 24 месяца
","
9.8
",350 558 ₽ 210 335 ₽
Курс «Программист Python» от Geekbrains,"
  Длительность: 
 12 месяцев
","
9.8
",124 500 ₽
Профессия «C#-разработчик» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9.8
",150 000 ₽ 90 000 ₽
Профессия «Python-разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.8
",309 350 ₽ 185 610 ₽
Профессия «Android-разработчик» от SkillFactory,"
  Длительность: 
 18 месяцев
","
9.8
",141 996 ₽ 85 200 ₽
Профессия «Data Scientist: с нуля до middle» от Нетологии,"
  Длительность: 
 17 месяцев
","
9.8
",283 000 ₽ 169 800 ₽
Факультет data science в медицине от GeekBrains,"
  Длительность: 
 24 месяца
","
9.8
",250 000 ₽ 199 992 ₽
Профессия «Веб-разработчик» от GeekBrains,"
  Длительность: 
 8 месяцев
","
9.8
",124 500 ₽
Курс «Веб-разработчик» от Skillbox,"
  Длительность: 
 18 месяцев
","
9.8
",390 080 ₽ 234 048 ₽
Профессия «Data scientist PRO» от Skillbox,"
  Длительность: 
 24 месяца
","
9.8
",374 325 ₽ 224 595 ₽
Профессия «Data Scientist: анализ данных» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.7
",374 325 ₽ 224 595 ₽
Курс «Python для веб-разработки» от SkillFactory,"
  Длительность: 
 9 месяцев
","
9.7
",165 000 ₽ 99 000 ₽
Факультет «Тестирования ПО» от GeekBrains,"
  Длительность: 
 12 месяцев
","
9.7
",212 500 ₽ 168 750 ₽
Курс «Python-разработчик PRO» от GeekBrains,"
  Длительность: 
 6 месяцев
","
9.7
",99 500 ₽ 64 675 ₽
Факультет сетевого инженера от GeekBrains,"
  Длительность: 
 11 месяцев
","
9.7
",224 500 ₽ 145 925 ₽
Курс «Автоматизация тестирования на Java» от GeekBrains,"
  Длительность: 
 7 месяцев
","
9.7
",105 000 ₽ 57 751 ₽
Курс «Frontend-разработчик» от GeekBrains,"
  Длительность: 
 12 месяцев
","
9.6
",178 678 ₽
Профессия «Java-разработчик с нуля» от Нетологии,"
  Длительность: 
 12 месяцев
","
9.6
",215 000 ₽ 129 000 ₽
Профессия «DataOps-инженер» от Нетологии,"
  Длительность: 
 8 месяцев
","
9.6
",108 000 ₽ 64 800 ₽
Профессия «Backend-разработчик на Go» от Skillfactory,"
  Длительность: 
 12 месяцев
","
9.6
",176 000 ₽ 105 600 ₽
Профессия «Тестировщик ПО на Java» от SkillFactory,"
  Длительность: 
 10 месяцев
","
9.6
",109 992 ₽ 66 000 ₽
Профессия «Веб-разработчик» от Loftschool,"
  Длительность: 
 5 месяцев
","
9.6
",103 300 ₽ 62 000 ₽
Профессия «Разработчик AR&VR с нуля до PRO» от Skillbox,"
  Длительность: 
 24 месяца
","
9.5
",325 278 ₽ 195 167 ₽
Профессия «1С-разработчик» от Skillbox,"
  Длительность: 
 6 месяцев
","
9.5
",166 812 ₽ 100 087 ₽
Профессия «Разработчик VR&AR» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.5
",227 410 ₽ 136 446 ₽
Профессия «Мобильный разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.5
",72 000 ₽ 46 548 ₽
Профессия «Android-разработчик» от Skillbox,"
  Длительность: 
 20 месяцев
","
9.5
",242 400 ₽ 145 440 ₽
Курс «DevOps для эксплуатации и разработки» от Яндекс Практикума,"
  Длительность: 
 6 месяцев
","
9.5
",108 000 ₽
Курс «Инженер по тестированию плюс» от Яндекс Практикума,"
  Длительность: 
 9 месяцев
","
9.5
",124 000 ₽
Курс «IT-специалист» от GeekBrains,"
  Длительность: 
 6 месяцев
","
9.5
",105 012 ₽ 57 780 ₽
Курс «Программист-специалист» от GeekBrains,"
  Длительность: 
 6 месяцев
","
9.5
",105 012 ₽ 57 780 ₽
Курс «Специалист по ручному тестированию» от GeekBrains,"
  Длительность: 
 6 месяцев
","
9.5
",105 000 ₽ 46 201 ₽
Курс «Специалист по аналитике» от GeekBrains,"
  Длительность: 
 6 месяцев
","
9.5
",105 000 ₽ 46 201 ₽
Профессия «Разработчик игр на Unity» от GeekBrains,"
  Длительность: 
 11 месяцев
","
9.5
",99 504 ₽ 64 692 ₽
Курс «Инди разработчик» от XYZ School,"
  Длительность: 
 15 месяцев
","
9.5
",227 700 ₽ 136 700 ₽
Курс «Frontend-разработчик с нуля» от Нетологии,"
  Длительность: 
 18 месяцев
","
9.4
",180 000 ₽ 108 000 ₽
Профессия «Android-разработчик с нуля» от Нетологии,"
  Длительность: 
 6 месяцев
","
9.4
",182 500 ₽ 109 500 ₽
Факультет информационной безопасности от GeekBrains,"
  Длительность: 
 24 месяца
","
9.4
",124 500 ₽
Профессия «Веб-разработчик» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9.4
",197 000 ₽ 108 350 ₽
Факультет Python-разработки от GeekBrains,"
  Длительность: 
 18 месяцев
","
9.4
",224 500 ₽ 168 750 ₽
Профессия «Системный администратор» от Skillfactory,"
  Длительность: 
 9 месяцев
","
9.4
",120 000 ₽ 72 000 ₽
Специализация «Администратор Linux» от OTUS,"
  Длительность: 
 12 месяцев
","
9.4
",150 000 ₽ 112 500 ₽
Факультет frontend-разработки от GeekBrains,"
  Длительность: 
 16 месяцев
","
9.4
",224 500 ₽ 168 750 ₽
Курс «Fullstack-разработчик» от LoftSchool,"
  Длительность: 
 11 месяцев
","
9.4
",228 300 ₽ 137 000 ₽
Курс «Data Engineer» от OTUS,"
  Длительность: 
 4 месяца
","
9.4
",90 000 ₽
Профессия «DevOps-инженер с нуля» от Нетологии,"
  Длительность: 
 24 месяца
","
9.4
",265 000 ₽ 159 000 ₽
Профессия «Тестировщик» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.3
",253 575 ₽ 177 503 ₽
Профессия «Java-разработчик» от SkillFactory,"
  Длительность: 
 24 месяца
","
9.3
",165 000 ₽ 115 500 ₽
Факультет «Go-разработки» от GeekBrains,"
  Длительность: 
 24 месяца
","
9.3
",130 000 ₽
Профессия «iOS—разработчик» от Skillbox,"
  Длительность: 
 24 месяца
","
9.3
",242 400 ₽ 145 440 ₽
Курс «DevOps практики и инструменты» от Otus,"
  Длительность: 
 6 месяцев
","
9.3
",95 000 ₽
Курс «Старт в DevOps: системное администрирование для начинающих» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.3
",85 000 ₽ 42 500 ₽
Профессия «DevOps-инженер PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.3
",209 063 ₽ 125 438 ₽
Профессия «Разработчик игр на Unreal Engine 4 с нуля до Middle» от Skillbox,"
  Длительность: 
 24 месяца
","
9.3
",296 822 ₽ 178 093 ₽
Курс «Enterprise технологии в java-разработке» от Skillbox,"
  Длительность: 
 6 месяцев
","
9.3
",114 857 ₽ 80 400 ₽
Курс «Базы данных для разработчиков» от Skillbox,"
  Длительность: 
 6 месяцев
","
9.3
",39 100 ₽ 27 370 ₽
Курс «Алгоритмы и структуры данных» от SkillFactory,"
  Длительность: 
 5 месяцев
","
9.3
",54 000 ₽
Профессия «Python-разработчик с нуля до трудоустройства» от Нетологии,"
  Длительность: 
 12 месяцев
","
9.2
",165 000 ₽ 99 000 ₽
Факультет разработки игр от GeekBrains,"
  Длительность: 
 12 месяцев
","
9.2
",274 500 ₽ 150 975 ₽
Профессия «Веб-разработчик с нуля» от Нетологии,"
  Длительность: 
 22 месяца
","
9.2
",265 000 ₽ 159 000 ₽
Профессия «Frontend-разработчик PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.2
",171 600 ₽ 85 800 ₽
Факультет Java-разработки от GeekBrains,"
  Длительность: 
 12 месяцев
","
9.2
",180 000 ₽ 108 000 ₽
Курс «Frontend-разработчик» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9.2
",85 000 ₽ 51 000 ₽
Профессия «Go-разработчик» от Skillbox,"
  Длительность: 
 12 месяцев
","
9.2
",192 140 ₽ 124 891 ₽
Курс «Тестирование мобильных приложений» от Skillbox,"
  Длительность: 
 9 месяцев
","
9.2
",95 450 ₽ 81 133 ₽
Курс «Node.js» от Skillbox,"
  Длительность: 
 4 месяца
","
9.2
",27 179 ₽ 21 743 ₽
Профессия «Fullstack-разработчик» от Skillbox,"
  Длительность: 
 24 месяца
","
9.2
",242 400 ₽ 145 440 ₽
Курс «Программирование 1С: с нуля к профессионалу» от Cпециалист.ру,"
  Длительность: 
 24 месяца
","
9.2
",99 890 ₽
Курс «JavaScript-фреймворк React.js» от Skillbox,"
  Длительность: 
 4 месяца
","
9.2
",37 950 ₽ 26 565 ₽
Курс «Архитектор ПО» от Skillbox,"
  Длительность: 
 4 месяца
","
9.2
",47 725 ₽ 40 566 ₽
Профессия «iOS-разработчик с нуля» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9.2
",150 000 ₽ 90 000 ₽
Профессия «AI разработчик» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9.2
",105 000 ₽
Профессия «Java-разработчик» от MDA,"
  Длительность: 
 12 месяцев
","
9.2
",82 900 ₽
Курс «Backend-разработка на Node.js» от Нетологии,"
  Длительность: 
 4 месяца
","
9.2
",35 500 ₽ 24 850 ₽
Профессия «Frontend-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 24 месяца
","
9.2
",323 840 ₽ 194 304 ₽
Факультет разработки VR/AR от GeekBrains,"
  Длительность: 
 18 месяцев
","
9.2
",249 500 ₽ 137 225 ₽
Факультет Ruby on Rails от GeekBrains,"
  Длительность: 
 12 месяцев
","
9.2
",199 512 ₽ 159 588 ₽
Профессия «Bitrix-разработчик с нуля» от Нетологии,"
  Длительность: 
 10 месяцев
","
9.2
",112 000 ₽ 67 200 ₽
Профессия «Разработчик» от GeekBrains при участии Skillbox,"
  Длительность: 
 15 месяцев
","
9.2
",174 000 ₽
Профессия «Инженер умных устройств» от GeekBrains,"
  Длительность: 
 17 месяцев
","
9.2
",199 512 ₽ 159 588 ₽
Полный курс по data science от SkillFactory,"
  Длительность: 
 13 месяцев
","
9.2
",209 800 ₽ 125 880 ₽
Профессия «DevOps-инженер» от Skillbox,"
  Длительность: 
 12 месяцев
","
9
",350 578 ₽ 210 347 ₽
Профессия «Программист iOS» от GeekBrains,"
  Длительность: 
 6 месяцев
","
9
",124 500 ₽ 80 925 ₽
Профессия «Программист PHP» от GeekBrains,"
  Длительность: 
 4 месяца
","
9
",48 000 ₽ 28 800 ₽
Курс «Frontend-разработчик» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",85 161 ₽ 68 129 ₽
Профессия «Программист Java» от GeekBrains,"
  Длительность: 
 12 месяцев
","
9
",77 000 ₽ 46 200 ₽
Профессия «Middle-разработчик на Unreal Engine 4» от Skillbox,"
  Длительность: 
 24 месяца
","
9
",180 021 ₽ 108 013 ₽
Курс «Middle-разработчик игр на Unity» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",85 402 ₽ 59 781 ₽
Профессия «Fullstack-разработчик на JavaScript» от Skillbox,"
  Длительность: 
 12 месяцев
","
9
",277 860 ₽ 166 716 ₽
Профессия «DevOps-инженер» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9
",189 996 ₽ 132 996 ₽
Курс «JavaScript» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",61 370 ₽ 52 165 ₽
Курс «Разработчик игр на Unity» от SkillFactory,"
  Длительность: 
 12 месяцев
","
9
",239 400 ₽ 143 640 ₽
Курс «Go-разработчик PRO» от Skillbox,"
  Длительность: 
 8 месяцев
","
9
",134 750 ₽ 107 800 ₽
Курс «Инженер по ручному тестированию» от SkillFactory,"
  Длительность: 
 4 месяца
","
9
",149 400 ₽ 89 640 ₽
Профессия «Backend-разработчик» от Loftschool,"
  Длительность: 
 3 месяца
","
9
",56 700 ₽ 34 000 ₽
Курс «Разработчик JavaScript. Базовый уровень» от OTUS,"
  Длительность: 
 6 месяцев
","
9
",80 000 ₽ 60 000 ₽
Профессия «Fullstack-разработчик на JavaScript» от Нетологии,"
  Длительность: 
 19 месяцев
","
9
",265 000 ₽ 159 000 ₽
Факультет ручного тестирования от GeekBrains,"
  Длительность: 
 10 месяцев
","
9
",212 500 ₽ 168 750 ₽
Профессия «Python-разработчик» от SkillFactory,"
  Длительность: 
 10 месяцев
","
9
",177 000 ₽ 106 200 ₽
Профессия «Android-разработчик» от LoftSchool,"
  Длительность: 
 3 месяца
","
9
",75 800 ₽ 45 500 ₽
Курс «Разработчик C++» от Яндекс Практикума,"
  Длительность: 
 9 месяцев
","
9
",126 000 ₽
Курс «Инфраструктурная платформа на основе Kubernetes» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",56 533 ₽ 45 226 ₽
Курс «Android-разработчик. Базовый уровень» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",101 784 ₽ 81 420 ₽
Курс «iOS-разработка для начинающих» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",103 512 ₽ 72 456 ₽
Курс «Введение в data science» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",95 748 ₽ 67 020 ₽
Профессия «Android-разработчик» от Skypro,"
  Длительность: 
 5 месяцев
","
9
",196 178 ₽ 117 707 ₽
Курс «Веб-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 10 месяцев
","
8.8
",103 155 ₽ 82 524 ₽
Профессия «Data Scientist PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.8
",374 325 ₽ 224 595 ₽
Факультет «iOS-разработки» от GeekBrains,"
  Длительность: 
 12 месяцев
","
8.8
",199 500 ₽
Факультет Android-разработки от GeekBrains,"
  Длительность: 
 12 месяцев
","
8.8
",224 500 ₽ 168 375 ₽
Профессия «iOS-разработчик» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.8
",182 500 ₽ 109 500 ₽
Курс «PHP-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.8
",79 000 ₽ 55 300 ₽
Факультет «Веб-разработки» от GeekBrains,"
  Длительность: 
 24 месяца
","
8.8
",249 500 ₽ 168 750 ₽
Факультет «DevOps» от GeekBrains,"
  Длительность: 
 18 месяцев
","
8.8
",270 000 ₽
Курс «iOS Разработчик. Продвинутый курс» от Otus,"
  Длительность: 
 6 месяцев
","
8.8
",70 000 ₽ 55 000 ₽
Профессия «1С-разработчик» от Нетологии,"
  Длительность: 
 6 месяцев
","
8.8
",89 900 ₽ 59 900 ₽
Курс «React.js разработчик» от Otus,"
  Длительность: 
 4 месяца
","
8.8
",60 000 ₽
Курс «Java-разработчик» от Skillbox,"
  Длительность: 
 4 месяца
","
8.8
",107 443 ₽ 75 210 ₽
Профессия «Fullstack-разработчик на Python» от SkillFactory,"
  Длительность: 
 24 месяца
","
8.8
",165 000 ₽ 105 000 ₽
Курс «Java Developer. Professional» от Otus,"
  Длительность: 
 6 месяцев
","
8.8
",100 000 ₽
Специализация «DevOps-инженер» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.8
",165 000 ₽ 99 000 ₽
Профессия «Разработчик игр на Unity» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.8
",133 000 ₽ 79 800 ₽
Курс «Angular» от Skillbox,"
  Длительность: 
 3 месяца
","
8.8
",33 350 ₽ 26 680 ₽
Профессия «Программист Android» от GeekBrains,"
  Длительность: 
 7 месяцев
","
8.8
",124 500 ₽ 80 925 ₽
Курс «Java. Уровень 1» от GeekBrains,"
  Длительность: 
 1 месяц
","
8.8
",15 000 ₽
Курс «Веб-разработка» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",53 600 ₽ 14 900 ₽
Курс «Разработчик C# + .NET» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",79 600 ₽ 71 600 ₽
Курс «Java-разработчик» от Nordic IT,"
  Длительность: 
 6 месяцев
","
8.8
",95 400 ₽ 66 600 ₽
Курс «Android-разработка на Kotlin» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",63 600 ₽ 57 200 ₽
Курс «Golang-разработчик» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",71 600 ₽ 64 400 ₽
Курс «Веб-разработка для начинающих» от Loftschool,"
  Длительность: 
 2 месяца
","
8.8
",36 696 ₽ 21 996 ₽
Курс «Основы Java с 0» от ProductStar,"
  Длительность: 
 2 месяца
","
8.8
",55 000 ₽ 34 900 ₽
Курс «Архитектор информационных систем» от GeekBrains,"
  Длительность: 
 6 месяцев
","
8.8
",174 500 ₽ 113 425 ₽
Курс «1С-программист» от Нетологии,"
  Длительность: 
 9 месяцев
","
8.8
",150 000 ₽ 90 000 ₽
